Date,VFC,DKS,HIBB,SA,NWS,UA,NKE,BATRA,BATRK
1/21/2020,94.63,47.82,26.97,13.74,14.84,18.09,104.58,29.51,29.46
1/22/2020,94.57,47.9,26.19,13.9,14.79,18.31,104.49,29.02,28.95
1/23/2020,85.41,46.96,25.84,14.17,14.71,18.78,103.02,29.5,29.28
1/24/2020,84.53,45.93,25.73,13.97,14.35,18.61,102.03,29.17,29.1
1/27/2020,82.51,46.47,25.98,13.65,14.1,18.45,100.24,29.56,29.49
1/28/2020,83.63,46.23,26.28,13.33,13.92,18.68,100.41,29.5,29.4
1/29/2020,84.06,46.33,25.87,14.07,13.79,18.68,99.84,29.5,29.32
1/30/2020,84.56,45.43,25.66,13.97,14.01,18.55,98.19,29.6,29.55
1/31/2020,82.97,44.23,24.78,13.93,13.97,17.96,96.3,29.25,29.15
2/3/2020,82.91,43.91,24.23,13.38,14.02,17.98,99.27,29.24,29.15
2/4/2020,83.95,43.61,24.23,13.08,14.15,18.42,101.38,29.36,29.3
2/5/2020,84.6,45.45,24.99,13.12,14.4,18.5,100.54,29.81,29.84
2/6/2020,84.08,45.92,24.97,13.34,14.74,18.4,100.27,29.5,29.4
2/7/2020,82.96,44.22,23.8,13.02,14.44,17.97,99.44,29.2,29.2
2/10/2020,83.33,43.75,23.45,13.22,14.08,18.15,100.02,29.23,29.25
2/11/2020,82.96,44.06,23.86,13.16,14.48,15.12,100.02,28.99,29.01
2/12/2020,83.93,45.21,24.33,13.06,14.8,15.45,103,28.8,28.89
2/13/2020,84.05,44.77,23.93,13.17,14.81,15.13,103.37,28.51,28.6
2/14/2020,83.66,44.07,23.37,13.15,14.98,15.45,103.54,28.85,28.81
2/18/2020,82.67,43.46,23.49,13.5,14.92,15,102,28.78,28.83
2/19/2020,83.4,43.31,24.02,13.75,15.05,14.96,102.46,28.73,28.75
2/20/2020,83.99,43.43,23.57,13.47,14.98,14.94,102.53,28.55,28.63
2/21/2020,83.72,42.36,23.09,13.72,14.79,14.57,100.25,28.25,28.31
2/24/2020,81.83,41.4,22.92,13.84,14.03,14.14,95.91,27.61,27.67
2/25/2020,77.24,40.71,21.43,13.37,13.24,13.46,92.9,27.44,27.53
2/26/2020,76.39,38.87,20.3,13.37,12.73,13.04,92,27.03,27.14
2/27/2020,73.2,37.55,20.02,11.21,12.28,12.55,88.55,26.6,26.64
2/28/2020,72,36.41,19.52,9.83,12.44,12.48,89.38,26.02,25.98
3/2/2020,74.65,36.48,19.71,10.38,12.66,12.49,92.68,26.31,26.22
3/3/2020,71.51,35.17,19.53,11.03,12.09,12.2,90.93,26.1,26.17
3/4/2020,74.31,35.95,20.11,11.18,12.1,12.39,93.79,26.12,26.17
3/5/2020,71.57,34.16,18.73,11.32,11.33,11.73,90.58,24.68,24.75
3/6/2020,70.13,34.98,19.02,11,11.26,11.14,88.36,24.43,24.36
3/9/2020,62.39,34.48,18.48,9.97,10.49,9.91,84.11,22.68,22.43
3/10/2020,65.16,35.87,19.63,9.94,11.06,10.29,88.3,22.82,22.51
3/11/2020,62.72,30.56,16.42,8.74,10.35,9.99,84,20.32,20.07
3/12/2020,55.35,27,15.27,7.2,9.42,8.75,74.2,17.52,17.34
3/13/2020,59.54,26.92,14.53,6.34,10.61,9.48,75.58,18.87,18.38
3/16/2020,55.72,21.19,12.26,6.93,10.28,8.33,66.79,17.23,16.64
3/17/2020,60.68,18.6,12.2,8.92,10.72,8.96,69.84,17.17,16.79
3/18/2020,57.3,16.87,8.58,7.94,9.16,7.39,68.04,13.75,13.47
3/19/2020,57.08,18.61,9.75,7.96,9.32,8.01,70.34,16.18,15.76
3/20/2020,52.78,16.81,9.85,7.33,8.71,7.23,67.45,16.34,16
3/23/2020,45.99,17.03,7.94,7.36,8.14,7.14,62.8,15.77,15.54
3/24/2020,52.43,19.55,10.42,8.76,8.65,8.01,72.33,17.48,17.09
3/25/2020,58.05,20.88,10.48,9.93,8.61,8.24,79.01,19.42,19.18
3/26/2020,61.93,21.99,10.98,10.56,9.16,8.76,84.3,19.43,19.03
3/27/2020,57.79,21.74,10.55,9.82,8.42,8.32,83.23,18.45,18.08
3/30/2020,59.75,22.14,10.6,10.05,8.86,8.41,85.38,18.57,18.19
3/31/2020,54.08,21.26,10.94,9.35,8.99,8.06,82.74,19.5,19.06
4/1/2020,48.68,17.78,10.12,9.38,8.59,7.45,79.23,18.38,18.08
4/2/2020,49.12,18.71,9.82,9.4,8.17,6.89,80.14,18.59,18.07
4/3/2020,48.88,18.32,9.71,9.2,8.24,7.48,78.86,16.88,16.44
4/6/2020,54.67,22.19,11.27,9.48,8.98,8,84.63,17.71,17.43
4/7/2020,56.34,23.85,12.3,9.53,9,8.39,84.16,16.45,16.06
4/8/2020,57.99,25.43,12.83,9.46,9.14,8.64,85.3,17.56,17.26
4/9/2020,59.21,27.58,13.19,10.84,9.69,9.35,86.79,18.39,17.9
4/13/2020,57.5,24.9,12.58,11.73,9.58,8.73,84.46,18.19,17.74
4/14/2020,59.57,26.21,12.28,12.69,9.67,8.97,87.47,18.64,18.17
4/15/2020,55.85,25.11,11.7,12.04,9.12,8.65,85.04,17.8,17.4
4/16/2020,54.85,24.75,11.54,12.07,8.7,8.36,86.3,18.22,17.7
4/17/2020,57.5,26.49,12.75,11.87,9.17,8.89,89.91,18.59,18.04
4/20/2020,55.83,26.53,13.08,12.24,9.02,8.64,87.9,18.19,17.64
4/21/2020,53.34,26.36,13.06,12.02,8.62,8.52,85.2,18.24,17.79
4/22/2020,54.27,25.67,13.14,12.84,8.65,8.56,88.77,18.12,17.62
4/23/2020,54.35,26.23,13.01,13.2,8.82,8.74,87.35,18.3,17.74
4/24/2020,54.57,27.64,14.19,13.45,8.99,8.97,88.37,19.5,19
4/27/2020,57.71,29.73,14.71,13.79,9.6,9.35,89.37,19.82,19.27
4/28/2020,59.5,29.16,15.05,14.1,9.91,9.64,88.8,20.28,19.8
4/29/2020,60.28,31.45,15.75,14.27,10.81,9.79,88.07,22.45,21.94
4/30/2020,58.1,29.39,15.43,13.98,10.22,9.27,87.18,20.64,20.09
5/1/2020,55.43,27.21,14.78,14.25,9.7,8.76,85.54,19.89,19.46
5/4/2020,55.72,27.24,14.9,14.45,9.91,8.71,85.75,20.11,19.66
5/5/2020,55.66,27.4,14.88,14.31,9.81,8.46,87.2,19.84,19.36
5/6/2020,56.02,27.78,14.65,14.22,9.99,8.23,88.44,19.88,19.5
5/7/2020,57.28,27.8,15.66,14.64,9.93,8.61,88.56,19.96,19.64
5/8/2020,58.23,29.81,16.06,14.5,11.25,8.94,90.46,21.5,21.1
5/11/2020,57.3,29.88,16.73,13.81,10.98,8,90.93,20.69,20.11
5/12/2020,55.79,28.52,15.33,14.48,10.8,7.68,88.26,19.72,19.16
5/13/2020,52.76,27.08,13.78,14.35,10.93,6.93,86.02,18.29,17.74
5/14/2020,55.44,27.3,14.84,14.86,11,6.91,86.55,19.03,18.51
5/15/2020,51.96,27.79,15.08,15.65,11.01,6.91,86.99,19.26,18.69
5/18/2020,56.45,29.65,16.84,15.14,11.28,7.3,91.04,21.82,21.29
5/19/2020,54.84,28.92,16.83,16.24,11.28,7.08,91.51,20.91,20.33
5/20/2020,55.98,29,17.53,16.12,11.65,7.47,92.95,21.43,20.88
5/21/2020,56.29,30.84,18.91,15.73,11.55,7.7,94.26,21.67,21.13
5/22/2020,55.64,32.09,19.5,15.81,11.63,7.38,93.75,21.77,21.23
5/26/2020,59.82,34.5,18.72,15.13,12,7.86,96.62,23.57,23.07
5/27/2020,62.18,36.46,19.56,14.89,12.3,8.51,99.87,23.54,23.05
5/28/2020,58.79,34.93,18.71,14.87,12.02,8.12,98.46,22.76,22.12
5/29/2020,56.1,36.06,19.32,15.51,12.26,7.86,98.58,22.59,21.95
6/1/2020,58.07,36.46,19.02,15.71,12.24,8.26,99.54,22.66,22.22
6/2/2020,59.35,37.8,19.31,15.28,12.32,8.41,100.74,22.12,21.71
6/3/2020,64,36.74,19.76,15.16,12.97,9.19,104.11,22.51,22.12
6/4/2020,64.09,36.85,20.17,15.29,12.84,9.3,101.28,22.56,22.22
6/5/2020,68.31,38.44,20.36,15.52,13.04,9.84,102.71,22.55,22.17
6/8/2020,68.07,39.37,21.63,15.51,13.42,10.22,104.29,23.39,23.02
6/9/2020,64.45,39.23,21.19,15.77,12.92,9.71,102.63,23.11,22.8
6/10/2020,63.58,38.02,20.78,16.26,12.44,9.42,102.12,22.27,21.94
6/11/2020,59.8,36.17,18.96,15.1,11.44,8.52,95.17,21.38,21.04
6/12/2020,61.25,39.41,20.29,15.06,11.75,8.68,96.43,22.58,22.25
6/15/2020,63.12,39.09,20.68,15.12,11.84,8.8,97.84,22.3,21.94
6/16/2020,65.97,40.57,20.9,14.9,12.12,9.28,99.04,22.19,21.9
6/17/2020,63.61,41.01,20.42,15.19,12.38,8.85,99.21,21.91,21.71
6/18/2020,63.5,41.02,20.45,15.15,11.98,8.81,98.45,21.25,20.87
6/19/2020,63.29,39.4,19.4,15.63,11.88,8.6,95.78,20.98,20.53
6/22/2020,62.6,41.34,20.99,15.78,11.99,8.58,99.51,20.22,19.74
6/23/2020,62.69,41.44,21.36,16.12,12.07,8.93,101.92,20.03,19.52
6/24/2020,59.03,40.92,20.61,15.81,11.69,8.58,100.08,19.19,18.72
6/25/2020,59.81,40.43,20.83,15.87,11.77,8.67,101.4,19.31,18.87
6/26/2020,57.14,39.71,20.39,16.14,11.54,8.26,93.67,18.64,18.25
6/29/2020,60.36,41.55,21.15,16.46,11.73,8.88,95.87,19.18,18.76
6/30/2020,60.94,41.26,20.94,17.54,11.95,8.84,98.05,20.08,19.74
7/1/2020,60.6,40.61,20.78,17.5,12.12,8.65,97.4,18.7,18.27
7/2/2020,61.58,40.76,22.98,17.5,12.1,8.68,98.43,18.89,18.48
7/6/2020,62.99,40.89,23.61,17.76,12.21,9,99.95,18.77,18.34
7/7/2020,59.83,39.8,22.81,18.39,12.03,8.6,97.07,17.91,17.47
7/8/2020,60.68,40.3,22.78,18.39,11.88,8.64,98.84,18.01,17.59
7/9/2020,58.27,38.77,21.62,18.5,11.73,8.29,96.99,17.84,17.43
7/10/2020,60.74,39.88,22.57,18.57,11.98,8.63,97.99,18.45,18.01
7/13/2020,60.05,38.75,21.68,17.58,11.96,8.46,96.46,18.06,17.65
7/14/2020,60.24,38.93,21.94,18.23,12.38,8.49,96.76,18.56,18.2
7/15/2020,62.66,40.61,23.33,18.36,12.72,9.18,98.54,19.36,19.07
7/16/2020,62.32,41.28,23.59,18.09,12.79,9.19,97.26,19.28,18.93
7/17/2020,59.72,41,23.29,18.54,12.8,9.13,96.28,19.47,19.13
7/20/2020,57.93,40.58,22.49,19.08,12.73,8.82,95.65,19.27,18.95
7/21/2020,59.67,42.97,25.38,19.22,12.76,9.44,98.36,19.12,18.82
7/22/2020,59.69,44.4,24.85,19.37,12.85,9.42,98.91,19.36,19.02
7/23/2020,60.14,44.18,24.4,18.87,12.73,9.78,98.3,19.26,18.97
7/24/2020,59.9,44.6,23.77,19.03,12.71,9.83,98.43,19.09,18.68
7/27/2020,60.82,46.04,24.57,20.33,12.91,9.95,97.21,18.34,18.08
7/28/2020,60.81,45.15,24.61,20.14,12.73,10.03,96.27,18.13,17.91
7/29/2020,61.91,46.8,25.67,20,12.86,10.33,96.97,18.97,18.76
7/30/2020,60.5,46.25,24.65,19.5,12.92,10.18,96.82,19.26,19
7/31/2020,60.36,45.62,23.19,19.44,12.76,9.49,97.61,18.91,18.65
8/3/2020,59.81,44.69,23.29,19.43,12.98,8.79,98.33,19.22,18.99
8/4/2020,59.48,46.03,24.13,20.19,13.38,8.94,97.33,19.38,19.07
8/5/2020,61.94,46.81,25.01,19.86,13.31,9.44,100.94,19.12,18.89
8/6/2020,59.98,45.69,24.67,19.67,13.5,9.04,100.45,19.44,19.16
8/7/2020,61.28,45.8,24.86,19.02,14.32,9.2,101.86,19.54,19.3
8/10/2020,64.01,46.63,25.1,18.79,14.95,9.6,105.41,20.26,20.01
8/11/2020,64.46,46.92,25.44,17.3,14.94,9.8,105.12,20.91,20.81
8/12/2020,63.72,46.14,25.6,17.02,15.26,9.77,105.22,21.21,21.05
8/13/2020,63.83,46.27,25.73,17.86,15.43,9.66,106.52,20.75,20.57
8/14/2020,64.24,46.31,26.46,17.55,15.43,9.6,106.43,20.69,20.47
8/17/2020,63.12,45.74,25.84,18.45,15.19,9.41,105.66,19.99,19.8
8/18/2020,62.04,44.9,25.17,18.67,15.29,9.23,106.97,19.27,19
8/19/2020,61.4,46.49,25.65,18.36,15.25,9.02,108.39,19.24,19
8/20/2020,61,45.23,25.3,18.65,15.19,8.79,108.01,19.16,18.94
8/21/2020,61.66,46.28,25.51,18.55,14.63,8.77,109.75,19.58,19.4
8/24/2020,65.98,47.81,27.2,17.96,14.85,9.19,111.83,20.02,19.97
8/25/2020,64.44,46.67,26.3,17.9,14.96,9.11,111.51,20.55,20.48
8/26/2020,64.06,53.99,29.46,18.53,14.98,8.89,111.53,19.77,19.63
8/27/2020,66.62,53,30.1,18.3,15.02,8.96,110.84,19.92,19.81
8/28/2020,67.94,53.16,32.45,18.9,15.24,9.14,112.29,19.99,19.83
8/31/2020,65.75,54.12,33.37,19.02,15.07,8.85,111.89,19.59,19.43
9/1/2020,66.56,56.6,34.15,18.72,15.1,9.17,114.84,19.15,19
9/2/2020,68.41,56.13,33.87,18.81,15.2,9.38,116.8,19.2,19.22
9/3/2020,68.54,54.78,32.91,18.91,15.16,9.38,112.85,19.33,19.37
9/4/2020,68.22,54.9,32.86,18.67,14.93,9.32,112.4,19.28,19.25
9/8/2020,68.38,54.17,34.54,18.42,14.61,9.74,112.72,19.57,19.5
9/9/2020,68,56.38,36.46,19.15,15.15,9.36,114.9,19.54,19.6
9/10/2020,68.39,55.89,37.38,18.94,14.86,9.48,114.79,19.11,19.21
9/11/2020,70.03,56.26,37.94,18.69,15.05,9.9,118,18.61,18.65
9/14/2020,73.21,57.3,37.53,19.64,15.2,10.3,119.28,19.91,19.99
9/15/2020,74.79,57.44,38.38,19.84,15.23,10.25,119.27,21.04,21.19
9/16/2020,76.44,58.26,39.68,19.85,14.98,10.7,118.59,21.46,21.59
9/17/2020,74.59,58.55,39.51,20.08,15.16,10.44,116.36,20.51,20.62
9/18/2020,72.13,58.43,40.03,19.75,15.48,10.06,114.66,20.03,20.27
9/21/2020,68.69,57.33,38.77,18.97,14.47,9.36,113.37,20.26,20.34
9/22/2020,69.28,56.13,39.71,19.16,14.67,9.53,116.87,19.87,20.01
9/23/2020,69.07,56.47,38.45,17.59,14.16,10,127.11,19.85,20.06
9/24/2020,69.37,54.79,36.92,18.21,13.97,9.67,124.75,19.81,19.99
9/25/2020,70.54,55.89,37.65,18.29,13.99,9.82,124.23,20.18,20.29
9/28/2020,71.19,57.81,38.62,18.49,14.28,10.04,124.32,20.65,20.77
9/29/2020,69.66,57.13,37.99,18.89,13.77,9.77,126.35,20.33,20.38
9/30/2020,70.25,57.88,39.22,18.78,13.98,9.84,125.54,20.88,21.01
10/1/2020,71.58,60.25,41.57,18.97,14.15,10.35,126.64,21.03,21.2
10/2/2020,72.53,60.17,44.61,18.78,14.17,10.54,126.64,20.65,20.71
10/5/2020,74.91,62.13,48.58,19.14,14.32,10.59,127.91,21.05,21.15
10/6/2020,74.66,59.91,45.86,18.5,14.22,10.2,127.65,21.5,21.48
10/7/2020,76.96,60.7,48.07,18.36,14.16,10.61,130.06,21.67,21.66
10/8/2020,78.33,61.43,51.11,18.95,14.34,10.96,129.71,22.45,22.34
10/9/2020,77.61,60.76,55.4,19.87,14.16,10.97,130.98,22.58,22.23
10/12/2020,77.87,60.73,54.01,19.83,14.15,11.06,129.46,23.06,22.62
10/13/2020,76.82,62.04,53.68,19.05,14.23,11.11,129.2,22.18,21.8
10/14/2020,75.74,62.33,52.73,19.97,14.12,10.93,127.66,21.5,21.22
10/15/2020,77.74,63.05,53.02,19.75,13.89,11.26,129,20.61,20.27
10/16/2020,75.82,61.48,48.82,19.46,13.94,11.3,128,20.88,20.5
10/19/2020,72.54,61.15,49.78,18.92,13.68,11.56,127.43,20.6,20.32
10/20/2020,72.37,60.42,49.81,19.01,13.8,11.78,128.49,20.69,20.35
10/21/2020,72.75,60.19,47.69,19.31,13.86,12.11,129.43,20.64,20.29
10/22/2020,73.96,59.53,46.36,19.13,13.87,12.43,130.02,21.37,21.01
10/23/2020,74.83,59.58,44.21,19.34,13.91,12.74,129.99,22.37,21.99
10/26/2020,73.75,58.48,42.94,19.08,13.59,12.23,128.37,21.17,20.8
10/27/2020,72.38,57.66,42.91,19.74,13.35,11.93,127.99,21.05,20.71
10/28/2020,68.39,56.05,40.37,18.57,12.88,11.66,122.08,20.49,20.23
10/29/2020,68.86,56.18,39.23,19.12,12.96,12.04,122.86,20.94,20.64
10/30/2020,67.2,56.65,37.81,19.26,13.02,12.23,120.08,20.7,20.47
